first_name,last_name,email,filepath, amount
James,Butt,jbutt@gmail.com, bill-1.txt, 131
Josephine,Darakjy,josephine_darakjy@darakjy.org,bill-1.txt, 342
Art,Venere,art@venere.org, bill-1.txt, 324
Lenna,Paprocki,lpaprocki@hotmail.com, bill-2.txt, 34
Donette,Foller,donette.foller@cox.net, bill-1.txt, 328
Simona,Morasca,simona@morasca.com, bill-2.txt, 34
Mitsue,Tollner,mitsue_tollner@yahoo.com, bill-1.txt, 98
Leota,Dilliard,leota@hotmail.com, bill-1.txt, 24
Sage,Wieser,sage_wieser@cox.net, bill-1.txt, 2342
Kris,Marrier,kris@gmail.com, bill-1.txt, 980
Minna,Amigon,minna_amigon@yahoo.com, bill-1.txt, 242
